レベル,仕上表 グループ名,仕上表 グループ番号*,仕上表 整列番号,仕上表 別名(室名),名前,面積,Unnamed: 7,排煙,排煙告示,施工令,仕上表 選択*,仕上表* 内装制限 根拠,内装制限,SL,FL,CH,床,Unnamed: 18,幅木,Unnamed: 20,腰壁,壁,Unnamed: 23,廻り縁,天井,Unnamed: 26,備考
3FL,基準階,2,200,ELVホール,ELVホール,17.4935 m²,,告示,2,c,いいえ,2,(不),±0,±0,2500,コンクリート金ごて押え,タイルカーペット(A),60,ビニル幅木(A),-,準不燃GB,EP-2,塩ビ(A),準不燃GB,岩綿吸音板(A),
2FL,基準階,2,201,廊下,廊下,35.6774 m²,,告示,2,c,いいえ,2,(不),±0,±0,2500,コンクリート金ごて押え,タイルカーペット(A),60,ビニル幅木(A),-,準不燃GB,EP-2,塩ビ(A),準不燃GB,岩綿吸音板(A),
3FL,基準階,2,201,廊下,廊下,35.6774 m²,,告示,2,c,いいえ,2,(不),±0,±0,2500,コンクリート金ごて押え,タイルカーペット(A),60,ビニル幅木(A),-,準不燃GB,EP-2,塩ビ(A),準不燃GB,岩綿吸音板(A),
4FL,基準階,2,201,廊下,廊下,35.6774 m²,,告示,2,c,いいえ,2,(不),±0,±0,2500,コンクリート金ごて押え,タイルカーペット(A),60,ビニル幅木(A),-,準不燃GB,EP-2,塩ビ(A),準不燃GB,岩綿吸音板(A),
5FL,基準階,2,201,廊下,廊下,35.6774 m²,,告示,2,c,いいえ,2,(不),±0,±0,2500,コンクリート金ごて押え,タイルカーペット(A),60,ビニル幅木(A),-,準不燃GB,EP-2,塩ビ(A),準不燃GB,岩綿吸音板(A),
6FL,基準階,2,201,廊下,廊下,35.6774 m²,,告示,2,c,いいえ,2,(不),±0,±0,2500,コンクリート金ごて押え,タイルカーペット(A),60,ビニル幅木(A),-,準不燃GB,EP-2,塩ビ(A),準不燃GB,岩綿吸音板(A),
7FL,基準階,2,201,廊下,廊下,35.6774 m²,,告示,2,c,いいえ,2,(不),±0,±0,2500,コンクリート金ごて押え,タイルカーペット(A),60,ビニル幅木(A),-,準不燃GB,EP-2,塩ビ(A),準不燃GB,岩綿吸音板(A),
2FL,基準階,2,202,事務室,事務室,640.6170 m²,,自然,-,c,はい,c,準,-100,±0,2800,OAフロア(A),タイルカーペット(A),60,ビニル幅木(A),-,準不燃GB,EP-2,塩ビ(A),LGS,システム天井(A),
3FL,基準階,2,202,事務室,事務室,640.8071 m²,,自然,-,c,はい,c,準,-100,±0,2800,OAフロア(A),タイルカーペット(A),60,ビニル幅木(A),-,準不燃GB,EP-2,塩ビ(A),LGS,システム天井(A),
4FL,基準階,2,202,事務室,事務室,640.8071 m²,,自然,-,c,はい,c,準,-100,±0,2800,OAフロア(A),タイルカーペット(A),60,ビニル幅木(A),-,準不燃GB,EP-2,塩ビ(A),LGS,システム天井(A),
5FL,基準階,2,202,事務室,事務室,640.8071 m²,,自然,-,c,はい,c,準,-100,±0,2800,OAフロア(A),タイルカーペット(A),60,ビニル幅木(A),-,準不燃GB,EP-2,塩ビ(A),LGS,システム天井(A),
