ElementId,Category,Level,RoomName,RoomNumber,RoomAlias,RoomGroupName,RoomGroupNumber,AreaRaw,Area,CH,FloorFinish,WallFinish,CeilingFinish,Notes
5FL-203,Room,5FL,給湯室,203,給湯室,基準階,2,7.4075 m²,7.4075,2400,ビニル床シート(A),EP-2,化粧GB(A),
6FL-203,Room,6FL,給湯室,203,給湯室,基準階,2,7.4075 m²,7.4075,2400,ビニル床シート(A),EP-2,化粧GB(A),
7FL-203,Room,7FL,給湯室,203,給湯室,基準階,2,7.4075 m²,7.4075,2400,ビニル床シート(A),EP-2,化粧GB(A),
2FL-204,Room,2FL,WC男,204,WC男,基準階,2,15.2325 m²,15.2325,2400,ビニル床シート(A),化粧塩ビシート(A),化粧GB(A),
3FL-204,Room,3FL,WC男,204,WC男,基準階,2,15.2325 m²,15.2325,2400,ビニル床シート(A),化粧塩ビシート(A),化粧GB(A),
4FL-204,Room,4FL,WC男,204,WC男,基準階,2,15.2325 m²,15.2325,2400,ビニル床シート(A),化粧塩ビシート(A),化粧GB(A),
5FL-204,Room,5FL,WC男,204,WC男,基準階,2,15.2325 m²,15.2325,2400,ビニル床シート(A),化粧塩ビシート(A),化粧GB(A),
6FL-204,Room,6FL,WC男,204,WC男,基準階,2,15.2325 m²,15.2325,2400,ビニル床シート(A),化粧塩ビシート(A),化粧GB(A),
7FL-204,Room,7FL,WC男,204,WC男,基準階,2,15.2325 m²,15.2325,2400,ビニル床シート(A),化粧塩ビシート(A),化粧GB(A),
2FL-205,Room,2FL,WC女,205,WC女,基準階,2,17.5494 m²,17.5494,2400,ビニル床シート(A),化粧塩ビシート(A),化粧GB(A),
3FL-205,Room,3FL,WC女,205,WC女,基準階,2,17.5494 m²,17.5494,2400,ビニル床シート(A),化粧塩ビシート(A),化粧GB(A),
4FL-205,Room,4FL,WC女,205,WC女,基準階,2,17.5494 m²,17.5494,2400,ビニル床シート(A),化粧塩ビシート(A),化粧GB(A),
5FL-205,Room,5FL,WC女,205,WC女,基準階,2,17.5494 m²,17.5494,2400,ビニル床シート(A),化粧塩ビシート(A),化粧GB(A),
6FL-205,Room,6FL,WC女,205,WC女,基準階,2,17.5494 m²,17.5494,2400,ビニル床シート(A),化粧塩ビシート(A),化粧GB(A),
7FL-205,Room,7FL,WC女,205,WC女,基準階,2,17.5494 m²,17.5494,2400,ビニル床シート(A),化粧塩ビシート(A),化粧GB(A),
2FL-300,Room,2FL,階段室,300,階段室,共通,4,14.1075 m²,14.1075,2500(7階),ビニル床シート(A),EP-2,岩綿吸音板(A),
1FL-300,Room,1FL,階段室,300,階段室,共通,4,14.3063 m²,14.3063,2500(7階),ビニル床シート(A),EP-2,岩綿吸音板(A),
3FL-300,Room,3FL,階段室,300,階段室,共通,4,14.1075 m²,14.1075,2500(7階),ビニル床シート(A),EP-2,岩綿吸音板(A),
4FL-300,Room,4FL,階段室,300,階段室,共通,4,14.1075 m²,14.1075,2500(7階),ビニル床シート(A),EP-2,岩綿吸音板(A),
5FL-300,Room,5FL,階段室,300,階段室,共通,4,14.1075 m²,14.1075,2500(7階),ビニル床シート(A),EP-2,岩綿吸音板(A),
6FL-300,Room,6FL,階段室,300,階段室,共通,4,14.1075 m²,14.1075,2500(7階),ビニル床シート(A),EP-2,岩綿吸音板(A),
7FL-300,Room,7FL,階段室,300,階段室,共通,4,14.1075 m²,14.1075,2500(7階),ビニル床シート(A),EP-2,岩綿吸音板(A),
2FL-301,Room,2FL,PS,301,PS,共通,4,3.0500 m²,3.05,直天,防塵塗装(A),素地,素地,
3FL-301,Room,3FL,PS,301,PS,共通,4,1.1600 m²,1.16,直天,防塵塗装(A),素地,素地,
3FL-301,Room,3FL,PS,301,PS,共通,4,2.1090 m²,2.109,直天,防塵塗装(A),素地,素地,
4FL-301,Room,4FL,PS,301,PS,共通,4,3.0500 m²,3.05,直天,防塵塗装(A),素地,素地,
5FL-301,Room,5FL,PS,301,PS,共通,4,3.0500 m²,3.05,直天,防塵塗装(A),素地,素地,
6FL-301,Room,6FL,PS,301,PS,共通,4,3.0500 m²,3.05,直天,防塵塗装(A),素地,素地,
7FL-301,Room,7FL,PS,301,PS,共通,4,3.0500 m²,3.05,直天,防塵塗装(A),素地,素地,
2FL-301,Room,2FL,PS,301,PS,共通,4,3.1164 m²,3.1164,直天,防塵塗装(A),素地,素地,
2FL-301,Room,2FL,PS,301,PS,共通,4,2.1090 m²,2.109,直天,防塵塗装(A),素地,素地,
