CheckId,ElementId,Category,FamilyName,TypeName,Level,ParameterName,CurrentValue,RuleId,RuleName,Severity,Status,FixGuide,DetectedAt,SourceFile,ModelName
CHK-0022,106.0,Doors,SD,EPS 1F,,BIM_Zone,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0023,106.0,Doors,SD,EPS 1F,,BIM_ClassificationCode,,R-002,分類コード未入力,High,Open,分類コード表に従い、BIM_ClassificationCode を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0024,106.0,Doors,SD,EPS 1F,,FamilyName,SD,R-003,ファミリ命名規則違反,Medium,Open,命名規則に従い、カテゴリ・用途・識別情報が分かるファミリ名へ修正する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0025,107.0,Doors,SD,駐車場,,BIM_ModelRole,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0026,107.0,Doors,SD,駐車場,,BIM_Zone,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0027,107.0,Doors,SD,駐車場,,BIM_ClassificationCode,,R-002,分類コード未入力,High,Open,分類コード表に従い、BIM_ClassificationCode を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0028,107.0,Doors,SD,駐車場,,FamilyName,SD,R-003,ファミリ命名規則違反,Medium,Open,命名規則に従い、カテゴリ・用途・識別情報が分かるファミリ名へ修正する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0029,108.0,Doors,SD,電気室 1F,,BIM_ModelRole,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0030,108.0,Doors,SD,電気室 1F,,BIM_Zone,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0031,108.0,Doors,SD,電気室 1F,,BIM_ClassificationCode,,R-002,分類コード未入力,High,Open,分類コード表に従い、BIM_ClassificationCode を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0032,108.0,Doors,SD,電気室 1F,,FamilyName,SD,R-003,ファミリ命名規則違反,Medium,Open,命名規則に従い、カテゴリ・用途・識別情報が分かるファミリ名へ修正する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0033,109.0,Doors,SD,管理人室 清掃管理人室 倉庫,,BIM_ModelRole,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0034,109.0,Doors,SD,管理人室 清掃管理人室 倉庫,,BIM_Zone,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0035,109.0,Doors,SD,管理人室 清掃管理人室 倉庫,,BIM_ClassificationCode,,R-002,分類コード未入力,High,Open,分類コード表に従い、BIM_ClassificationCode を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0036,109.0,Doors,SD,管理人室 清掃管理人室 倉庫,,FamilyName,SD,R-003,ファミリ命名規則違反,Medium,Open,命名規則に従い、カテゴリ・用途・識別情報が分かるファミリ名へ修正する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0037,110.0,Doors,SD,管理用出入口附室,,BIM_ModelRole,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0038,110.0,Doors,SD,管理用出入口附室,,BIM_Zone,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0039,110.0,Doors,SD,管理用出入口附室,,BIM_ClassificationCode,,R-002,分類コード未入力,High,Open,分類コード表に従い、BIM_ClassificationCode を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0040,110.0,Doors,SD,管理用出入口附室,,FamilyName,SD,R-003,ファミリ命名規則違反,Medium,Open,命名規則に従い、カテゴリ・用途・識別情報が分かるファミリ名へ修正する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0041,111.0,Doors,SD,店舗裏口,,BIM_ModelRole,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0042,111.0,Doors,SD,店舗裏口,,BIM_Zone,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0043,111.0,Doors,SD,店舗裏口,,BIM_ClassificationCode,,R-002,分類コード未入力,High,Open,分類コード表に従い、BIM_ClassificationCode を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0044,111.0,Doors,SD,店舗裏口,,FamilyName,SD,R-003,ファミリ命名規則違反,Medium,Open,命名規則に従い、カテゴリ・用途・識別情報が分かるファミリ名へ修正する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0045,201.0,Doors,SD,事務室,,BIM_ModelRole,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0046,201.0,Doors,SD,事務室,,BIM_Zone,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0047,201.0,Doors,SD,事務室,,BIM_ClassificationCode,,R-002,分類コード未入力,High,Open,分類コード表に従い、BIM_ClassificationCode を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0048,201.0,Doors,SD,事務室,,FamilyName,SD,R-003,ファミリ命名規則違反,Medium,Open,命名規則に従い、カテゴリ・用途・識別情報が分かるファミリ名へ修正する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0049,202.0,Doors,SD,外部階段,,BIM_ModelRole,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0050,202.0,Doors,SD,外部階段,,BIM_Zone,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0051,202.0,Doors,SD,外部階段,,BIM_ClassificationCode,,R-002,分類コード未入力,High,Open,分類コード表に従い、BIM_ClassificationCode を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0052,202.0,Doors,SD,外部階段,,FamilyName,SD,R-003,ファミリ命名規則違反,Medium,Open,命名規則に従い、カテゴリ・用途・識別情報が分かるファミリ名へ修正する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0053,203.0,Doors,SD,設備バルコニー,,BIM_ModelRole,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0054,203.0,Doors,SD,設備バルコニー,,BIM_Zone,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0055,203.0,Doors,SD,設備バルコニー,,BIM_ClassificationCode,,R-002,分類コード未入力,High,Open,分類コード表に従い、BIM_ClassificationCode を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0056,203.0,Doors,SD,設備バルコニー,,FamilyName,SD,R-003,ファミリ命名規則違反,Medium,Open,命名規則に従い、カテゴリ・用途・識別情報が分かるファミリ名へ修正する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0057,204.0,Doors,SD,階段室,,BIM_ModelRole,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0058,204.0,Doors,SD,階段室,,BIM_Zone,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0059,204.0,Doors,SD,階段室,,BIM_ClassificationCode,,R-002,分類コード未入力,High,Open,分類コード表に従い、BIM_ClassificationCode を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0060,204.0,Doors,SD,階段室,,FamilyName,SD,R-003,ファミリ命名規則違反,Medium,Open,命名規則に従い、カテゴリ・用途・識別情報が分かるファミリ名へ修正する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0061,205.0,Doors,SD,EPS,,BIM_ModelRole,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0062,205.0,Doors,SD,EPS,,BIM_Zone,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0063,205.0,Doors,SD,EPS,,BIM_ClassificationCode,,R-002,分類コード未入力,High,Open,分類コード表に従い、BIM_ClassificationCode を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0064,205.0,Doors,SD,EPS,,FamilyName,SD,R-003,ファミリ命名規則違反,Medium,Open,命名規則に従い、カテゴリ・用途・識別情報が分かるファミリ名へ修正する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0065,206.0,Doors,SD,EPS,,BIM_ModelRole,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0066,206.0,Doors,SD,EPS,,BIM_Zone,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0067,206.0,Doors,SD,EPS,,BIM_ClassificationCode,,R-002,分類コード未入力,High,Open,分類コード表に従い、BIM_ClassificationCode を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0068,206.0,Doors,SD,EPS,,FamilyName,SD,R-003,ファミリ命名規則違反,Medium,Open,命名規則に従い、カテゴリ・用途・識別情報が分かるファミリ名へ修正する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0069,207.0,Doors,SD,PS,,BIM_ModelRole,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0070,207.0,Doors,SD,PS,,BIM_Zone,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0071,207.0,Doors,SD,PS,,BIM_ClassificationCode,,R-002,分類コード未入力,High,Open,分類コード表に従い、BIM_ClassificationCode を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0072,207.0,Doors,SD,PS,,FamilyName,SD,R-003,ファミリ命名規則違反,Medium,Open,命名規則に従い、カテゴリ・用途・識別情報が分かるファミリ名へ修正する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0073,208.0,Doors,SD,PS,,BIM_ModelRole,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0074,208.0,Doors,SD,PS,,BIM_Zone,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0075,208.0,Doors,SD,PS,,BIM_ClassificationCode,,R-002,分類コード未入力,High,Open,分類コード表に従い、BIM_ClassificationCode を入力する,2026-05-30 13:53:02,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
